brightness,temperature,humidity,motion_detected,output
1134,22.37,53.69,1,0
1128,22.37,53.69,0,0
1110,22.37,53.76,0,0
1110,22.37,53.76,0,0
1122,22.38,53.73,0,0
1121,22.38,53.73,0,0
1123,22.36,53.77,0,0
1128,22.36,53.77,0,0
1052,22.38,53.8,1,0
1087,22.38,53.8,1,0
1153,22.34,53.74,1,0
1138,22.34,53.74,1,0
1110,22.37,53.77,1,0
1084,22.37,53.77,1,0
1072,22.36,53.76,1,0
1052,22.36,53.76,1,0
1052,22.37,53.77,1,0
1076,22.37,53.77,1,0
1048,22.34,53.7,1,0
958,22.34,53.7,1,0
928,22.34,53.71,1,0
929,22.34,53.71,1,0
931,22.34,53.71,1,0
934,22.36,53.68,1,0
944,22.36,53.68,1,0
944,22.34,53.7,1,0
947,22.34,53.7,1,0
913,22.34,53.69,1,0
913,22.34,53.69,1,0
916,22.34,53.77,1,0
916,22.34,53.77,1,0
916,22.33,53.79,1,0
916,22.33,53.79,1,0
916,22.33,53.82,0,0
916,22.33,53.82,0,0
913,22.33,53.88,0,0
916,22.33,53.88,0,0
